Escherichia coli bacteriophage T5 (ATCC 11303-B5),$235.00,$199.75,NA,T5,T5,1,freeze-dried,ATCC  129: Nutrient agar/stabs/broth with 0.5% NaCl,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/11303-B5.ashx
Staphylococcus aureus subsp. aureus bacteriophage 75 (ATCC 27698-B1),$235.00,$199.75,NA,75,75,1,freeze-dried,ATCC  1831: Nutrient Broth/Agar w/ 400ug/ml Calcium Chloride,Temperature: 37Celsius Atmosphere: Aerobic,Store filtrate at 4Celsius .  Storage at 20Celsius  may cause inactivation of the phage.,NA,NA,NA,https://www.atcc.org/~/ps/27698-B1.ashx
Staphylococcus aureus subsp. aureus bacteriophage 55 (ATCC 27696-B1),$235.00,$199.75,NA,55,55,1,freeze-dried,ATCC  1831: Nutrient Broth/Agar w/ 400ug/ml Calcium Chloride,Temperature: 37Celsius Atmosphere: Aerobic,Store filtrate at 4Celsius . Storage at 20Celsius  may cause inactivation of the phage.,NA,NA,NA,https://www.atcc.org/~/ps/27696-B1.ashx
Escherichia coli bacteriophage phi V-1 (ATCC 15597-B2),$402.00,$341.70,NA,phi V-1,phi V-1,1,freeze-dried,ATCC  271: Escherichia medium,"Temperature: 37Celsius Atmosphere: 

Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to   8Celsius Live Culture: See Propagation Section,NA,NA,Characterization,https://www.atcc.org/~/ps/15597-B2.ashx
Pseudomonas aeruginosa bacteriophage Lindberg 73 (ATCC BAA-83-B1),$550.00,$467.50,NA,SD1,HER-8 [73Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-83-B1.ashx
Pseudomonas aeruginosa bacteriophage Lindberg 68 (ATCC BAA-82-B1),$550.00,$467.50,NA,phiKZ,HER-7 [68Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-82-B1.ashx
Pseudomonas aeruginosa bacteriophage Lindberg 31 (ATCC BAA-81-B2),$550.00,$467.50,NA,gh-1,HER-5 [31Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-81-B2.ashx
Pseudomonas aeruginosa bacteriophage Lindberg 24 (ATCC BAA-79-B1),$550.00,$467.50,NA,Li-24,HER-4 [24Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-79-B1.ashx
Pseudomonas aeruginosa bacteriophage Lindberg M4 (ATCC BAA-30-B1),$550.00,$467.50,NA,Li-24,HER-16 [M4 Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-30-B1.ashx
Pseudomonas aeruginosa bacteriophage Lindberg M7 (ATCC BAA-29-B1),$550.00,$467.50,NA,SD1,HER-9 [F7Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-29-B1.ashx
Escherichia coli bacteriophage T5 (ATCC 11303-B5),$235.00,$199.75,NA,T5,T5,1,freeze-dried,ATCC  129: Nutrient agar/stabs/broth with 0.5% NaCl,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/11303-B5.ashx
Staphylococcus aureus subsp. aureus bacteriophage 75 (ATCC 27698-B1),$235.00,$199.75,NA,75,75,1,freeze-dried,ATCC  1831: Nutrient Broth/Agar w/ 400ug/ml Calcium Chloride,Temperature: 37Celsius Atmosphere: Aerobic,Store filtrate at 4Celsius .  Storage at 20Celsius  may cause inactivation of the phage.,NA,NA,NA,https://www.atcc.org/~/ps/27698-B1.ashx
Staphylococcus aureus subsp. aureus bacteriophage 55 (ATCC 27696-B1),$235.00,$199.75,NA,55,55,1,freeze-dried,ATCC  1831: Nutrient Broth/Agar w/ 400ug/ml Calcium Chloride,Temperature: 37Celsius Atmosphere: Aerobic,Store filtrate at 4Celsius . Storage at 20Celsius  may cause inactivation of the phage.,NA,NA,NA,https://www.atcc.org/~/ps/27696-B1.ashx
Escherichia coli bacteriophage phi V-1 (ATCC 15597-B2),$402.00,$341.70,NA,phi V-1,phi V-1,1,freeze-dried,ATCC  271: Escherichia medium,"Temperature: 37Celsius Atmosphere: 

Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to   8Celsius Live Culture: See Propagation Section,NA,NA,Characterization,https://www.atcc.org/~/ps/15597-B2.ashx
Pseudomonas aeruginosa bacteriophage Lindberg 73 (ATCC BAA-83-B1),$550.00,$467.50,NA,SD1,HER-8 [73Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-83-B1.ashx
Pseudomonas aeruginosa bacteriophage Lindberg 68 (ATCC BAA-82-B1),$550.00,$467.50,NA,phiKZ,HER-7 [68Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-82-B1.ashx
Pseudomonas aeruginosa bacteriophage Lindberg 31 (ATCC BAA-81-B2),$550.00,$467.50,NA,gh-1,HER-5 [31Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-81-B2.ashx
Pseudomonas aeruginosa bacteriophage Lindberg 24 (ATCC BAA-79-B1),$550.00,$467.50,NA,Li-24,HER-4 [24Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-79-B1.ashx
Pseudomonas aeruginosa bacteriophage Lindberg M4 (ATCC BAA-30-B1),$550.00,$467.50,NA,Li-24,HER-16 [M4 Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-30-B1.ashx
Pseudomonas aeruginosa bacteriophage Lindberg M7 (ATCC BAA-29-B1),$550.00,$467.50,NA,SD1,HER-9 [F7Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-29-B1.ashx
Pseudomonas aeruginosa bacteriophage Lindberg F8 (ATCC BAA-28-B1),$550.00,$467.50,NA,PB-1,HER-10 [F8Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-28-B1.ashx
Pseudomonas aeruginosa bacteriophage Lindberg 7 (ATCC BAA-26-B1),$550.00,$467.50,NA,Li-2,HER-1 [7Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-26-B1.ashx
Salmonella enterica subsp. enterica bacteriophage Chi (ATCC 9842-B1),$550.00,$467.50,NA,chi,Chi,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/9842-B1.ashx
Salmonella enterica subsp. enterica serovar Typhimurium bacteriophage P22 strain R34 (ATCC 97541),$550.00,$467.50,NA,NA,r34,1,freeze-dried,"ATCC  1065: LB Agar/Broth, Miller",Temperature: 37.0Celsius,NA,NA,NA,Potential bacteremia therapeutic agentThis is one of six bacteriophage strains deposited at the ATCC (97537-97539 are lambda strains and 97540-97542 are P22 strains) that remain in the mouse circulatory system for long periods of time. They are potential therapeutic agents for bacteremias.,https://www.atcc.org/~/ps/97541.ashx
Escherichia coli bacteriophage Lambda Argo1 (ATCC 97539),$550.00,$467.50,NA,NA,Argo1,1,frozen,"ATCC  1065: LB Agar/Broth, Miller",Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Potential bacteremia therapeutic agent
This is one of six bacteriophage strains deposited at the ATCC (ATCC 97537-97539 are lambda strains and ATCC 97540-97542 are P22 strains) that remain in the mouse circulatory system for long periods of time. They are potential therapeutic agents for bacteremias.",https://www.atcc.org/~/ps/97539.ashx
Escherichia coli bacteriophage Lambda Argo2 (ATCC 97538),$550.00,$467.50,NA,NA,Argo2,1,freeze-dried,"ATCC  1065: LB Agar/Broth, Miller",Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Potential bacteremia therapeutic agent
This is one of six bacteriophage strains deposited at the ATCC (ATCC 97537-97539 are lambda strains and ATCC 97540-97542 are P22 strains) that remain in the mouse circulatory system for long periods of time. They are potential therapeutic agents for bacteremias.",https://www.atcc.org/~/ps/97538.ashx
Escherichia coli bacteriophage Lambda W60 (ATCC 97537),$402.00,$341.70,NA,NA,LambdaW60 [W60],1,freeze-dried,"ATCC  1065: LB Agar/Broth, Miller",Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Potential bacteremia therapeutic agent
This is one of six bacteriophage strains deposited at the ATCC (ATCC 97537-97539 are lambda strains and ATCC 97540-97542 are P22 strains) that remain in the mouse circulatory system for long periods of time. They are potential therapeutic agents for bacteremias.",https://www.atcc.org/~/ps/97537.ashx
Delftia acidovorans bacteriophage phi W-14 (ATCC 9355-B1),$550.00,$467.50,NA,phi W-14,Phi W-14,1,freeze-dried,ATCC  1211: CAAM-Tris,"Temperature: 30Celsius 
Atmosphere: Aerobic",2Celsius  to 8Celsius,NA,NA,Induces hydroxymethyldeoxyuridine triphosphate production in hostCharacterization,https://www.atcc.org/~/ps/9355-B1.ashx
Escherichia coli bacteriophage C36 (ATCC 8677-B1),"For-Profit:
$235.00",,NA,C36,C36,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/8677-B1.ashx
Clostridium sporogenes bacteriophage F1 (ATCC 8074-B1),$550.00,$467.50,NA,F1,F1,1,NA,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/8074-B1.ashx
Bacillus cereus bacteriophage NRS 201 (ATCC 7064-B1),$550.00,$467.50,NA,NRS 201,NRS 201,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/7064-B1.ashx
Bacillus megaterium bacteriophage 239 (ATCC 7056-B1),$550.00,$467.50,NA,239,239,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/7056-B1.ashx
Bacillus pumilus bacteriophage 236 (ATCC 6631-B1),$550.00,$467.50,NA,236,236,1,frozen,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/6631-B1.ashx
Mycobacterium smegmatis bacteriophage Mc-4 (ATCC 607-B7),$550.00,$467.50,NA,Mc-4,Mc-4,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/607-B7.ashx
Mycobacterium smegmatis bacteriophage Mc-2 (ATCC 607-B6),$550.00,$467.50,NA,Mc-2,Mc-2,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/607-B6.ashx
Mycobacterium smegmatis bacteriophage BK1 (ATCC 607-B5),$550.00,$467.50,NA,BK1,BK1,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/607-B5.ashx
Mycobacterium smegmatis bacteriophage R-1 (ATCC 607-B1),$550.00,$467.50,NA,R-1,R-1,1,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/607-B1.ashx
Bacillus subtilis sp. subtilis bacteriophage Phi-e (ATCC 6051-B1),$550.00,$467.50,NA,phi e,Phi-e,1,frozen,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/6051-B1.ashx
Vibrio cholerae bacteriophage III (ATCC 51352-B8),$550.00,$467.50,NA,III,III,1,freeze-dried,ATCC  129: Nutrient agar/stabs/broth with 0.5% NaCl,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/51352-B8.ashx
Vibrio cholerae bacteriophage I (ATCC 51352-B6),$550.00,$467.50,NA,I,I,1,freeze-dried,ATCC  129: Nutrient agar/stabs/broth with 0.5% NaCl,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/51352-B6.ashx
Vibrio cholerae bacteriophage V (ATCC 51352-B10),$550.00,$467.50,NA,V,V,1,freeze-dried,ATCC  129: Nutrient agar/stabs/broth with 0.5% NaCl,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/51352-B10.ashx
Pseudomonas sp. bacteriophage Ps-G3 (ATCC 49780-B1),$550.00,$467.50,NA,PsG3,Ps-G3,1,freeze-dried,NA,NA,NA,NA,NA,Characterization,https://www.atcc.org/~/ps/49780-B1.ashx
Micrococcus luteus bacteriophage N3 (ATCC 4698-B4),$550.00,$467.50,NA,N3,N3 [Cay],1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/4698-B4.ashx
Micrococcus luteus bacteriophage N8 (ATCC 4698-B3),$550.00,$467.50,NA,N8,N8 [Horse],1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/4698-B3.ashx
Bacillus megaterium bacteriophage G (ATCC 43725-B1),"$1,200.00","$1,020.00",NA,G,G [HER 276],1,test tube,ATCC  1652: Beef Extract Broth,"Temperature: 30Celsius 

Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/43725-B1.ashx
Campylobacter coli bacteriophage 19 (ATCC 43135-B1),$550.00,$467.50,NA,19,19 [formerly 5],1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/43135-B1.ashx
Campylobacter coli bacteriophage 17 (ATCC 43133-B1),$550.00,$467.50,NA,17,17 [formerly 13],1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/43133-B1.ashx
Campylobacter coli bacteriophage 20 (ATCC 43136-B1),"For-Profit:
$235.00",,NA,20,20 [formerly 4],1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/43136-B1.ashx
18 (ATCC 43134-B1),$550.00,$467.50,NA,NA,18 [formerly 7],1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/43134-B1.ashx
Mycobacterium sp. bacteriophage D-34 (ATCC 4243-B1),$550.00,$467.50,NA,D-34,D-34,1,freeze-dried,"ATCC  1395: Middlebrook 7H9 broth with ADC enrichment
ATCC  173: Middlebrook 7H10 agar with Middlebrook OADC enrichment","Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/4243-B1.ashx
Campylobacter jejuni subsp. jejuni bacteriophage 11 (ATCC 35925-B2),$550.00,$467.50,NA,11,11 [WI 386],1,frozen,ATCC  1423: Modified Brucella broth,"Temperature: 37Celsius 
Atmosphere: Microaerophilic",-80Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/35925-B2.ashx
Campylobacter jejuni subsp. jejuni bacteriophage 13 (ATCC 35924-B2),$550.00,$467.50,NA,13,13 [J1 263],1,frozen,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/35924-B2.ashx
Campylobacter jejuni subsp. jejuni bacteriophage 9 (ATCC 35924-B1),$550.00,$467.50,NA,9,9 [WI 3263],1,frozen,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/35924-B1.ashx
Campylobacter jejuni subsp. jejuni bacteriophage 5 (ATCC 35922-B3),$550.00,$467.50,NA,14,14 [J2106],1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/35922-B3.ashx
Campylobacter jejuni subsp. jejuni bacteriophage 4 (ATCC 35921-B1),$550.00,$467.50,NA,4,4 [J2101],1,frozen,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/35921-B1.ashx
Campylobacter jejuni subsp. jejuni bacteriophage 2 (ATCC 35919-B1),$550.00,$467.50,NA,2,2 [J1 328],1,frozen,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/35919-B1.ashx
Escherichia coli bacteriophage NCIB 11234 (ATCC 35060-B2),$550.00,$467.50,NA,T4,NCIB 11234 [T4am B17 gene 23],1,freeze-dried,ATCC  129: Nutrient agar/stabs/broth with 0.5% NaCl,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/35060-B2.ashx
Escherichia coli bacteriophage NCIB 11233 (ATCC 35060-B1),$550.00,$467.50,NA,T4,NCIB 11233 [T4am A453 gene 32],1,freeze-dried,ATCC  129: Nutrient agar/stabs/broth with 0.5% NaCl,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/35060-B1.ashx
Erwinia amylovora bacteriophage NCPPB 782 (ATCC 29850-B1),$550.00,$467.50,NA,E1,NCPPB 782 [E1],1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 26Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/29850-B1.ashx
Erwinia amylovora bacteriophage NCPPB 1508 (ATCC 29850-B2),$550.00,$467.50,NA,4L,NCPPB 1508 [4L],1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 26Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Characterization,https://www.atcc.org/~/ps/29850-B2.ashx
Erwinia amylovora bacteriophage phi Ea104 (ATCC 29780-B5),$550.00,$467.50,NA,Erwinia amylovora phage,Phi Ea104,1,freeze-dried,ATCC  272: Nutrient glucose medium,Temperature: 26.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/29780-B5.ashx
Erwinia amylovora bacteriophage phi Ea100 (ATCC 29780-B4),$550.00,$467.50,NA,Erwinia amylovora phage,Phi Ea100,1,freeze-dried,ATCC  272: Nutrient glucose medium,Temperature: 26.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/29780-B4.ashx
Erwinia amylovora bacteriophage PEa1 (h) (ATCC 29780-B1),$550.00,$467.50,NA,PEa1 (h),PEa1 (h),1,freeze-dried,NA,Temperature: 26.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/29780-B1.ashx
Escherichia coli bacteriophage P4 sid1 (ATCC 29746-B1),$550.00,$467.50,NA,P4 sid1,P4 sid1,1,frozen,ATCC  1020: LB modified broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/29746-B1.ashx
Bacillus thuringiensis bacteriophage MOR-1 (ATCC 29730-B1),$550.00,$467.50,NA,MOR-1,MOR-1,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/29730-B1.ashx
Thermoactinomyces vulgaris bacteriophage 115A (ATCC 29680-B1),$550.00,$467.50,NA,115A,115A,1,freeze-dried,NA,NA,NA,NA,NA,Isolation and characterization,https://www.atcc.org/~/ps/29680-B1.ashx
Nostoc sp. bacteriophage AN-15 (ATCC 29106-B1),$550.00,$467.50,NA,AN-15,AN-15,1,freeze-dried,NA,NA,NA,NA,NA,Characterization,https://www.atcc.org/~/ps/29106-B1.ashx
Nostoc sp. bacteriophage A-1 (L) (ATCC 27893-B16),$550.00,$467.50,NA,A-1 (L),A-1 (L),1,freeze-dried,ATCC  1142: Allen and Arnon medium plus nitrate,"Temperature: 26Celsius Atmosphere: Aerobic under light intensity of 2,000-3,000 lux",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Characterization,https://www.atcc.org/~/ps/27893-B16.ashx
Nostoc sp. bacteriophage N-1 (ATCC 27893-B15),$550.00,$467.50,NA,N-1,N-1 [ATCC 27347-B1],1,freeze-dried,ATCC  1142: Allen and Arnon medium plus nitrate,"Temperature: 26Celsius Atmosphere: Aerobic under light intensity of 2,000-3,000 lux",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Characterization and replication in Nostoc muscorum,https://www.atcc.org/~/ps/27893-B15.ashx
Nostoc sp. bacteriophage AN-26 (ATCC 27893-B1),$550.00,$467.50,NA,AN-26,AN-26,1,freeze-dried,ATCC  1142: Allen and Arnon medium plus nitrate,"Temperature: 26Celsius Atmosphere: Aerobic under light intensity of 2,000-3,000 lux",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Characterization,https://www.atcc.org/~/ps/27893-B1.ashx
Nostoc sp. bacteriophage A-4 (L) (ATCC 27892-B3),$550.00,$467.50,NA,A-4 (L),A-4 (L),1,freeze-dried,ATCC  1142: Allen and Arnon medium plus nitrate,"Temperature: 26Celsius Atmosphere: Aerobic under light intensity of 2,000­3,000 lux",2Celsius  to 8Celsius,NA,NA,Characterization,https://www.atcc.org/~/ps/27892-B3.ashx
Nostoc sp. bacteriophage AN-22 (ATCC 27892-B1),$550.00,$467.50,NA,AN-22,AN-22,1,freeze-dried,ATCC  1142: Allen and Arnon medium plus nitrate,"Temperature: 26Celsius 
Atmosphere: Aerobic under light intensity of 2,000­3,000 lux",2Celsius  to 8Celsius,NA,NA,Characterization,https://www.atcc.org/~/ps/27892-B1.ashx
Bacillus cereus bacteriophage 282 (S) (ATCC 27877-B1),$550.00,$467.50,NA,282 (S),282 (S),1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27877-B1.ashx
Bacillus cereus bacteriophage 256 (R) (ATCC 27877-B2),$550.00,$467.50,NA,256 (R),256 (R),1,freeze-dried,ATCC  779: G medium,"Temperature: 30Celsius 
Atmosphere: Aerobic",2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/27877-B2.ashx
Bacillus subtilis bacteriophage F (ATCC 27505-B1),$550.00,$467.50,NA,F,F [HER 346],1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27505-B1.ashx
Nostoc sp. bacteriophage N-1 (ATCC 27347-B1),$550.00,$467.50,NA,N-1,N-1 [ATCC 27893-B15],1,freeze-dried,NA,NA,NA,NA,NA,Characterization,https://www.atcc.org/~/ps/27347-B1.ashx
Mycobacterium smegmatis bacteriophage BK3 (ATCC 27203-B1),$550.00,$467.50,NA,BK3,BK3,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27203-B1.ashx
Mycobacterium smegmatis bacteriophage Bo1 (ATCC 27204-B1),$550.00,$467.50,NA,Bo 1,Bo 1,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27204-B1.ashx
Escherichia coli bacteriophage If2 (ATCC 27065-B2),$550.00,$467.50,NA,If2,If2,1,frozen,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27065-B2.ashx
Mycobacterium tuberculosis bacteriophage LG (ATCC 25618-B1),"$1,159.00",$985.15,NA,LG,LG,3,NA,NA,NA,NA,NA,NA,NA,https://www.atcc.org/en/My_Profile.aspx?sc_device=modal&streamfile=/~/ps/25618-B1.ashx&reloadafterclose=true
Yersinia pseudotuberculosis bacteriophage PST (ATCC 23207-B1),$550.00,$467.50,NA,PST,PST,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/23207-B1.ashx
Escherichia coli bacteriophage Z1K/1 (ATCC 25298-B1),$550.00,$467.50,NA,Z1K/1,ZlK/1,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/25298-B1.ashx
Escherichia coli bacteriophage ZJ/2 (ATCC 25298-B2),$550.00,$467.50,NA,ZJ/2,ZJ/2,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/25298-B2.ashx
